	T1	n1	T2	n2	T3	n3	T4	n4	T5	n5	T6	n6	T7	n7	T8	n8	T9	n9	T10	n10	T11	n11	T12	n12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	n27	T27	T28	n28	n29	T29	T30	T31	T32	n32	T33	n33	n34	T34	T35	n35	n36	T36	T37	T38	T39	n39	T40	n40
D14663	141.8288	358.0587	70.78	157.3262	126.99	34.63625	105.3563	13.905	671.165	118.7888	143.4888	133.4663	160.3625	62.70625	119.4838	185.6588	13.84375	22.79375	110.7025	36.05875	454.5163	171.9175	39.63625	13.25875	94.04375	223.2438	160.72	316.4738	410.3575	367.3663	201.8238	77.7375	93.2	155.8575	228.0325	229.7713	296.25	167.0325	188.8538	235.4975	295.615	127.52	317.0138	221.1363	316.4938	283.83	614.76	267.5888	176.1238	258.9713	297.0275	399.4788	299.4238	281.365	136.46	163.7637	279.6788	224.7063	376.6263	240.1238	236.6	189.5388
D14665	60.175	162.3925	19.7925	47.75125	106.335	24.62875	103.3813	53.0025	264.0338	206.6875	527.065	91.21125	85.1825	69.52625	145.0375	21.23375	35.69375	25.67625	40.76125	74.5425	158.8838	261.9888	223.5338	30.15375	150.0137	458.6525	216.3088	150.3563	273.7588	337.4188	381.7688	153.0288	97.78375	183.65	128.1	163.9863	41.78125	163.3325	103.2875	131.97	67.3125	76.20875	75.66	593.035	264.3175	404.3425	444.0163	267.17	141.6225	104.595	140.7337	179.8625	104.055	123.2363	215.0088	83.28875	18.755	19.17625	64.885	209.025	212.5875	102.5038
D14689	12.20263	39.71974	24.80526	35.98553	71.18421	15.41974	52.28421	12.18421	8.93816	98.09211	226.7987	38.33816	49.81842	22.52632	48.58421	6.03289	6.22237	11.79079	13.79474	36.55658	33.04211	48.63947	14.81711	15.78947	66.38421	82.03816	91.67105	127.2842	172.8855	105.5816	104.1921	95.19342	81.0329	94.97895	24.55526	63.36579	163.6697	68.03026	43.86184	64.49737	36.00395	47.81184	176.05	163.7776	164.5579	168.5434	242.229	150.9697	89.17632	36.03026	80.80395	66.50132	73.71974	70.14211	91.79211	61.07368	36.74605	34.43553	57.58421	99.38421	111.8513	58.30395
D14695	22.7925	89.83875	96.79375	48.4375	67.05125	20.88875	69.31	32.89375	16.8375	181.1175	204.3238	94.82625	83.58375	41.41625	68.21	31.18125	21.27375	33.965	16.81875	60.715	39.78375	144.9363	29.55625	13.275	97.91375	38.44875	95.3075	72.2625	166.6775	152.435	118.555	61.3875	40.29875	124.7325	46.38375	51.32	108.3413	47.88125	71.485	74.21375	31.71	61.06875	212.38	184.15	343.03	198.64	220.9688	293.815	152.6425	75.38125	72.525	92.72	46.6125	112.295	104.525	87.36375	104.775	13.5925	42.42875	126.3413	85.67	104.585
D14696	654.8362	1744.951	393.2225	668.1138	260.5075	197.1175	363.1475	315.6275	1039.703	444.1275	280.5238	943.785	502.7588	471.7813	551.0425	543.4713	242.5175	260.74	414.7075	192.7938	846.315	1180.038	397.6063	85.90375	1127.891	638.55	587.8438	1414.45	1661.684	1043.145	2146.25	381.1925	373.3538	821.4125	691.7238	440.4288	841.04	510.36	1082.245	921.0725	773.7375	779.6863	1476.004	774.4388	1741.436	983.0513	927.8738	1270.459	597.6913	1094.179	903.465	1032.76	1055.66	1655.195	656.3238	657.7188	1067.016	725.9775	866.8375	1120.595	487.0963	888.5875
D14812	438.2463	589.7238	172.8075	150.6988	376.7913	135.7325	344.9013	205.9113	377.6013	781.4025	1652.884	395.6363	545.5975	257.975	341.4238	145.6013	160.3788	71.04625	171.7438	276.3388	515.0575	610.0138	164.5775	53.6925	379.35	586.7663	552.7863	973.2675	1988.169	1450.648	1007.669	702.975	472.775	953.8963	370.9138	653.6613	1473.899	567.4438	397.8175	754.285	345.9538	393.2075	1302.31	2374.086	1358.003	1552.811	1915.109	1184.48	798.7388	770.3362	140.6588	712.8813	293.1913	396.4738	597.39	628.8488	529.745	274.54	933.1363	1003.154	439.805	539.3388
D15049	86.40875	227.8588	15.49125	62.53	65.15625	107.8588	114.7075	175.9188	61.76375	169.2637	152.0088	213.375	51.7625	50.8275	77.785	39.88375	26.695	116.6875	45.4425	95.9	81.8725	185.43	20.76375	21.21875	88.43375	54.615	70.11375	95.9725	131.6913	102.8775	126.9288	108.0413	125.5625	83.89625	96.88	63.48875	81.30625	45.2375	144.94	54.5325	56.36	545.9525	805.695	383.3575	739.715	463.07	292.2763	646.28	216.5325	117.2463	119.6813	68.55375	116.2013	143.7813	78.3075	203.2238	66.5525	30.1975	122.2188	424.6125	73.5375	247.86
D15057	118.4475	184.595	57.14875	85.765	56.81125	31.73625	141.3025	80.16125	113.9925	47.96625	420.23	227.2125	46.845	57.34125	91.9225	108.6625	57.2775	63.6525	45.58625	45.055	103.2163	155.22	24.08	23.83875	82.0025	76.0975	84.48125	164.1563	208.5263	198.855	153.0775	160.8875	106.305	69.9625	103.4813	82.30625	51.40875	82.2625	29.7525	74.4125	42.80875	107.34	306.97	391.9138	275.5813	314.7838	116.6738	81.2775	89.84625	58.63625	97.515	162.4763	68.2025	50.66	55.17875	32.75875	43.78125	16.97	130.1913	147.9325	77.1525	107.065
D16111	544.285	633.2563	112.0813	246.7363	172.5137	132.0788	234.6675	345.9538	267.9163	149.5063	1546.056	686.2388	179.2425	266.555	430.8963	172.3887	104.9063	115.03	238.91	186.5488	582.5538	363.3013	287.9413	46.6625	422.69	522.6725	263.145	443.4825	777.5263	424.2438	304.5638	280.0438	403.13	224.5638	276.3525	356.985	316.3325	350.3538	322.4013	471.7675	208.115	620.3975	1267.81	940.7888	1330.518	1523.898	930.4988	480.095	658.8638	877.7688	497.0425	735.905	200.0938	294.5388	421.7025	329.9463	204.25	400.2063	680.2825	678.0038	529.21	559.05
D16227	85.90625	37.02125	17.03875	36.75125	54.12	57.10125	63.31125	67.34125	80.695	63.465	114.3288	56.64625	73.9725	64.44625	72.03375	53.5525	78.09125	45.97125	94.4825	70.83875	46.075	102.15	73.99125	12.53375	135.9138	65.41	69.82375	80.64625	118.665	182.6775	167.3587	87.0825	99.01375	81.39625	57.7475	98.595	69.9875	93.01875	92.01125	79.59125	42.75375	142.0838	147.3025	190.8238	183.8225	273.53	184.8013	79.78	72.74625	86.02375	247.7438	289.11	84.29	205.1125	80.62375	67.955	56.17125	34.185	107.68	52.99875	52.49125	80.96
D16294	127.8262	258.4988	19.27976	228.3726	386.0571	248.4202	96.30952	296.0655	379.2512	430.3191	305.7048	424.9798	169.2191	286.7845	308.2179	532.9333	64.52262	259.3893	134.4143	317.5607	48.06191	232.8298	79.09167	110.0381	382.2214	39.57738	131.4869	112.5405	233.0821	212.431	280.0643	159.7905	286.7821	293.2536	131.0893	117.9643	120.3429	259.7786	284.55	369.4917	108.05	637.2726	530.2976	530.675	756.0798	523.7	427.9357	579.6845	88.86071	168.1405	59.49167	559.5821	169.7929	511.6488	35.19167	511.3429	110.881	37.9631	327.0679	159.7286	59.93333	432.575
D16431	557.9988	677.7737	260.9663	363.2275	181.32	89.555	293.2725	245.1288	602.3938	228.9188	335.28	359.4913	317.6713	243.3938	392.4188	175.645	95.975	87.77375	167.725	88.21125	555.9538	456.6238	263.2363	51.68625	755.8763	949.8525	460.2913	1168.058	1465.135	832.2112	1087.53	214.075	239.1288	929.2313	749.0813	396.3538	973.425	502.5175	99.82375	330.1113	581.9513	305.42	875.3038	1199.853	1280.663	1311.318	1281.669	805.3813	120.4025	326.4513	545.9725	345.7363	409.57	898.28	146.9538	362.4913	625.4338	682.99	471.7325	267.0388	173.6413	124.4
D16469	118.1513	154.05	59.5025	40.45625	181.47	71.44	103.8825	99.60625	104.0163	353.72	643.635	215.4825	108.8975	60.9475	113.575	57.225	66.04875	67.94625	57.67	124.7713	134.7113	256.8375	295.0963	51.86125	233.2875	205.1387	205.6588	545.5175	768.0213	426.635	402.7225	285.7875	173.9263	388.0488	202.9488	167.52	481.9588	181.0438	200.5338	44.38	94.745	179.7188	102.5663	296.3825	595.2425	211.1075	194.3338	200.5038	152.1788	144.55	207.2488	251.2125	115.53	90.69875	246.2375	82.155	122.1475	70.72625	121.7663	284.975	187.75	201.4225
D16481	121.4775	374.1263	36.9475	88.24375	61.1575	45.61875	133.0913	202.615	152.2788	140.435	412.7588	431.8813	91.14125	59.12875	93.0175	53.7675	43.3825	93.73	79.03	68.36875	194.8313	272.53	32.5225	25.7925	105.205	97.7	151.72	103.12	251.0838	293.7688	203.74	161.6588	171.685	90.59	75.53	88.1325	108.5938	103.3463	28.42625	156.67	55.60125	261.2525	263.4525	425.06	471.6638	248.0875	344.36	180.8375	217.0025	158.785	80.37875	184.3763	59.43875	106.4363	124.1825	38.5975	30.61375	34.58875	38.4975	197.9375	93.32	196.1725
D17390	88.2325	82.2375	76.9725	74.52875	54.56375	33.195	98.5375	97.855	149.1563	93.52125	277.2075	104.88	93.9075	62.2	71.16125	52.2175	23.96875	52.9425	43.6575	67.86625	103.7388	145.1525	31.60375	5.91625	77.13375	120.2763	106.0988	224.4163	458.705	366.0575	204.8288	125.6963	124.15	132.8775	79.085	59.24625	464.93	73.06625	46.7425	140.325	31.35125	200.44	372.5175	347.14	293.4513	278.575	173.105	162.2525	98.47125	115.6663	149.9775	203.285	62.32	121.8788	129.1488	113.5225	79.34125	86.90875	60.27375	130.455	104.805	153.8488
D17400	83.10875	126.8725	20.12	58.0875	35.9975	26.83125	87.18	37.73875	115.2	57.22625	520.3438	149.9563	70.99875	22.5575	53.96	27.0525	43.37625	40.15625	75.39875	44.18375	117.5538	91.5125	25.6325	18.805	62.85875	90.68125	111.4863	125.1538	192.4563	252.795	101.6787	112.0788	90.3075	73.8725	147.1738	101.2363	115.8588	76.23125	34.4525	136.4225	43.7675	127.2563	132.8788	530.045	210.0438	453.165	191.5525	96.40375	112.8438	61.345	54.73625	134.2388	53.37625	51.13375	117.5988	29.45125	28.13125	29.3125	76.7675	123.1075	70.1925	86.2875
D17530	97.08929	180.9631	147.7774	137.5929	200.6143	158.3071	180.8952	157.156	103.6345	283.6512	550.5143	219.5941	157.2786	97.7881	171.7036	95.7381	73.19048	43.43571	84.08691	198.975	99.54286	150.6643	136.7929	46.39048	167.0381	157.9464	195.156	287.7786	398.6381	335.8643	425.5798	168.625	181.9143	249.5464	134.9655	130.9726	222.7214	109.6262	140.8131	131.45	76.79286	133.8071	93.225	220.6083	289.1155	148.5845	31.69762	199.6881	136.4226	153.6786	290.5393	272.8	168.4405	241.1571	205.5321	108.181	190.4571	70.04524	123.0464	147.9048	147.55	163.356
D17532	102.245	102.4888	55.745	69.6225	67.7	60.07625	121.5988	59.83125	181.8125	78.27625	232.3413	106.315	64.85875	52.54875	59.1775	45.0775	27.18625	43.2225	50.25125	79.94	80.34625	116.5125	22.4025	24.69375	63.57375	69.28	69.2775	112.1175	266.32	197.2025	131.385	81.1875	94.48125	58.20375	69.1925	40.49625	265.9425	32.52375	26.5275	68.42375	19.41125	112.765	196.65	166.1913	182.2788	129.8175	79.30875	84.93625	32.92625	298.7225	375.5813	667.9013	188.1988	30.205	46.5175	15.405	279.9188	41.0675	245.3925	35.75	31.48	59.2625
D21094	78.0125	192.6925	16.365	113.6575	38.465	22.97875	40.7	21.715	214.9025	74.375	71.465	245.3563	42.87	63.1175	50.6975	137.6063	14.80875	31.68	87.9275	23.06625	161.7438	147.3975	49.05125	10.595	197.8288	170.1775	114.1338	191.2775	321.07	201.6463	213.94	59.9325	74.7325	163.35	169.5863	89.93375	150.815	135.2763	103.1838	139.0925	117.6963	152.285	338.7475	198.47	344.9313	209.685	284.725	265.1963	91.09	93.7875	47.96625	119.5775	148.82	260.1688	75.43875	107.3763	127.355	102.8138	120.68	168.7625	100.1525	108.3613
D21205	112.0774	116.5881	76.21548	82.07381	55.6381	23.52262	62.42143	50.31786	84.81429	63.68571	73.06429	175.8381	42.61548	40.40833	102.7429	40.10833	18.57143	20.49881	57.73691	28.57381	81.49881	150.2714	20.15476	14.07619	69.67857	52.82381	37.19405	127.9012	185.2179	94.48929	120.3226	25.49167	15.74405	36.96786	52.86429	40.61667	190.4476	43.08333	69.27738	73.92857	53.94524	128.1643	114.1583	154.6726	213.4774	118.2417	118.5667	105.0071	78.98333	84.58691	71.5131	114.0893	102.1286	135.7012	91.12857	60.34286	103.425	57.07857	58.92738	109.8536	48.36905	79.60833
D21239	180.6788	180.5825	87.52	149.7363	62.08125	39.7825	192.76	150.335	176.4863	172.2538	406.3688	262.9638	199.3	122.0638	180.64	46.4725	120.8625	93.8375	109.3525	148.385	215.585	248.9863	65.01875	33.68	149.955	110.4075	89.485	205.2938	277.085	296.81	289.965	82.51375	119.1563	215.62	163.1163	82.6125	112.0525	73.9375	82.1925	210.5425	69.8575	315.9525	313.1675	366.1725	351.595	358.9513	163.2988	154.145	197.4438	288.4938	202.1325	281.1113	158.6238	206.0013	174.7788	175.4288	168.3587	84.7025	167.8113	190.915	168.1213	210.57
D21260	133.6513	478.9488	67.14	100.2363	287.285	141.0888	190.625	152.3587	268.5113	833.9288	1184.416	392.5575	228.65	224.2588	148.1263	137.2738	112.0175	232.3925	129.625	360.245	385.2275	750.265	250.56	115.0875	465.26	372.7	515.0588	835.6913	1269.243	997.1025	542.2963	429.3625	353.045	802.7488	284.125	271.9725	345.995	444.845	502.2888	415.0713	138.6087	419.1575	1023.61	1071.759	1335.833	572.6	1376.574	1123.393	477.4288	358.1375	294.6663	477.7113	221.0513	330.06	436.8375	456.3638	185.1563	141.4313	329.2475	874.6875	341.9125	364.8038
D21261	379.455	371.0488	257.5525	278.51	656.5338	311.535	434.15	723.85	1854.9	645.4138	1977.304	457.4475	608.2613	288.175	920.46	562.6487	665.4625	398.5113	907.91	542.05	799.8788	322.3488	675.3888	159.55	1309.514	917.0175	633.835	1050.249	940.9963	1264.303	2111.85	978.4013	1166.878	1322.25	1004.304	1331.456	637.2275	1159.889	592.1288	671.4425	535.9738	1057.713	1319.351	2956.796	1882.526	3102.35	3436.654	741.41	360.7113	897.6863	1381.756	4531.639	1481.956	828.8775	933.6313	875.8913	1042.894	482.6838	1257.325	621.1163	438.81	779.04
D23672	209.9175	250.4363	214.8738	148.205	179.42	146.1863	219.7188	237.2288	149.07	459.5388	788.9913	252.4138	214.24	141.7138	279.2263	97.39875	65.57625	70.48	87.04625	199.2075	333.4588	527.395	131.7663	53.77875	255.2413	213.89	238.31	369.6888	549.9725	442.5688	445.8038	158.8138	200.745	295.1338	167.9975	146.2525	495.8563	161.5713	211.6313	86.53625	108.835	325.2788	271.32	353.2813	635.4325	236.4575	441	450.9213	304.875	307.685	412.0125	350.81	197.8863	415.3325	299.5325	206.7075	197.8938	109.45	229.3788	317.1837	188.5388	242.695
D25216	341.0975	390.225	278.5863	143.3	161.2025	52.2875	356.8075	207.9425	416.43	303.1325	1571.216	397.2925	242.3263	118.78	205.7	45.8	154.6413	147.2725	182.9738	196.1888	363.905	408.6613	107.4388	50.2325	179.105	272.4475	136.4713	307.0475	427.5113	452.4488	258.6988	265.8513	181.4325	406.355	146.2388	123.8925	502.7713	148.4212	100.5425	424.2813	138.7438	511.345	442.68	601.0375	365.6325	672.965	393.7938	291.125	316.84	275.465	315.0075	439.3138	256.1013	179.5488	453.045	217.3525	237.51	455.4325	315.65	312.58	240.1025	235.0975
D25217	743.4925	926.8575	402.61	629.485	348.3688	410.805	516.805	644.0237	484.7363	785.225	1127.034	972.8813	556.3088	500.4538	678.1225	576.7363	384.86	632.1688	478.2325	646.1375	667.5338	959.3063	235.025	226.3713	528.0287	342.8263	319.3175	523.2288	766.4488	741.3975	663.84	358.9613	315.2487	419.69	398.4938	181.9325	550.905	164.6325	332.1638	523.5613	262.5638	1508.038	1399.715	1035.664	1401.034	1033.585	735.9625	651.465	761.72	779.6225	676.4413	710.4662	379.33	684.6913	523.09	532.2112	396.89	351.9238	532.8075	928.2438	449.8413	669.4975
D26018	39.31375	83.515	38.98125	22.24375	43.625	29.5925	93.8225	52.2825	18.075	266.6188	374.975	81.3975	54.18875	40.24875	43.545	20.385	17.075	10.4425	37.93125	54.5925	117.6438	162.6325	29.33375	9.1425	65.235	119.2625	113.4038	116.0125	241.7188	306.75	130.2775	94.85375	115.8775	124.03	105.745	195.0663	149.4038	92.90375	104.5788	99.045	52.35	104.42	259.0763	428.9375	332.54	279.4013	223.0638	256.875	237.2063	106.4375	134.0913	155.3825	78.50625	153.4837	125.9663	138.9313	73.91	39.775	82.10875	183.8188	128.9275	116.9175
D26067	60.02738	64.82619	34.90714	34.31667	65.86786	38.96429	54.44762	49.49524	25.49762	145.0691	383.9476	70.7131	75.06071	30.28095	62.34524	15.61191	25.29286	24.13095	38.31309	63.73452	128.1726	169.0905	39.01786	16.18452	87.28214	95.87738	122.5702	180.3952	264.2798	206.581	120.3845	158.3738	91.09643	151.0167	83.79167	138.4119	189.3488	84.40595	89.0381	175.7714	53.66667	106.306	223.7441	433.4524	353.7393	343.8083	193.4821	234.2881	151.0583	86.79048	161.175	216.0357	93.39048	152.5595	111.2321	119.5869	59.01071	32.3881	79.05119	179.9	71.53333	97.59524
D26068	165.115	370.3575	59.2425	84.58125	174.1188	96.6925	89.56	107.8	87.03125	420.6738	816.7013	249.2288	315.6113	177.1913	184.1188	128.5538	86.86875	81.22375	111.6338	196.0563	266.6925	543.5113	76.975	46.76875	290.7538	493.9663	459.685	459.9625	877.0338	705.2425	432.5375	296.7363	87.12625	339.8038	288.0425	271.7125	270.7075	398.935	272.6538	118.18	103.8662	78.1425	621.79	754.675	1282.76	449.145	403.03	823.1038	96.7625	447.6875	62.64875	93.0975	23.255	173.6338	49.82875	139.0038	15.77375	21.32	328.2475	206.985	74.02125	70.81125
D26069	87.6	173.3107	38.82738	51.47738	37.8631	19.40714	89.95	38.3381	145.1036	56.40238	273.1976	224.2488	48.06548	24.2131	41.07024	18.99881	40.21548	47.99762	48.17024	44.68691	112.6095	128.4083	15.64762	16.35476	81.51905	72.58095	92.5381	86.67619	178.7905	216.6548	88.15119	106.1286	50.24048	109.0976	78.18095	68.95833	118.2821	51.91548	26.70119	93.93571	49.72619	168.7821	313.2393	355.3214	267.9238	386.9595	231.5583	151.0512	131.7964	50.00714	76.54762	130.9155	51.49286	56.45	114.4083	85.06786	74.56429	56.99167	75.20238	144.0548	79.93452	86.31548
D26129	336.5714	1115.132	454.7512	267.2631	416.3595	708.7155	302.7869	220.1821	456.5214	2142.235	1120.526	805.7381	313.4893	495.531	653.3941	596.6286	250.1036	186.2929	160.7964	800.8095	642.6333	1961.032	78.36071	110.1536	1297.364	413.7941	687.1571	513.7119	1187.47	928.8774	2150.202	939.5274	383.0357	602.4405	252.9691	164.875	777.5905	523.456	1315.108	236.6524	344.6131	999.2952	659.694	538.5476	1455.992	738.5643	1286.794	1502.636	707.6452	1332.783	593.7774	601.6929	621.7167	1196.661	1261.33	923.2941	1017.032	247.4274	382.1179	1521.08	959.3607	1214.712
D26535	65.03	199.1363	24.94625	82.0075	59.93	28.22875	107.2313	72.05875	8.15625	96.36	438.865	262.7913	50.9675	13.66875	68.84125	38.3725	13.66625	32.92125	43.1925	36.165	80.40625	132.895	9.195	12.5625	118.1188	103.63	112.8675	187.9512	163.825	277.5788	114.2325	184.3125	144.5675	107.2038	121.6213	83.94875	91.935	91.50625	85.3675	182.87	99.48375	221.525	483.71	422.4175	357.2113	395.5188	143.9038	197.295	186.4463	117.5713	158.335	301.5713	93.1775	90.0475	109.8238	99.79125	61.19625	120.625	146.5775	235.4163	160.2325	145.3775
D26600	223.48	353.5838	106.6088	245.9225	109.8875	49.7825	209.9638	104.6288	611.1525	83.1075	117.9913	335.7475	222.7763	141.7637	236.8675	366.2575	43.4425	47.36	154.6163	53.5775	342.08	218.4188	58.7	20.445	232.8488	290.3275	203.6725	479.0475	531.095	341.5063	391.0163	100.2013	118.9338	453.1425	253.96	172.5762	392.8025	163.295	251.9538	264.02	226.7	158.7138	398.4362	384.22	403.2288	329.55	749.7525	364.37	160.1963	256.9525	251.9525	429.9675	318.1125	321.4713	202.8988	160.0988	327.4725	231.7525	312.3888	256.69	330.8525	217.8363
D28124	176.9976	615.1417	235.3024	196.7155	426.2048	262.1691	277.381	343.156	67.48214	1081.281	1309.154	596.15	419.3607	391.3952	350.5262	236.4536	100.4893	262.0941	231.875	570.3131	596.8857	771.7012	102.7155	195.775	756.9571	493.7691	590.4988	485.3738	1054.383	1147.375	1347.168	931.0345	439.1048	519.8357	327.6202	170.869	707.1167	588.6536	496.2214	250.9393	108.1583	443.05	1636.632	775.0226	2165.799	1107.598	897.6441	1374.443	255.3286	726.4083	425.6036	488.0655	104.7774	256.1345	14.15119	282.8607	69.93929	74.95833	278.3357	457.0071	82.83691	129.6143
D28137	13.08875	130.4588	44.86625	25.11375	83.905	90.6725	318.7763	116.7013	524.1575	251.5525	1302.335	329.5013	36.37	18.1075	503.05	12.1325	69.375	6.95125	45.68125	126.3488	608.295	63.045	294.7588	24.605	64.725	114.5825	131.465	187.1863	210.305	449.5013	473.5688	260.4238	72.21625	236.145	276.93	1069.4	84.98	141.6013	108.7225	65.14875	195.145	220.515	522.3388	337.2025	253.8588	1466.401	1286.34	343.1913	85.1575	167.6825	445.3463	241.8988	81.83375	199.0088	684.135	194.5238	364.3513	29.31875	30.4225	62.635	1071.481	397.5563
D29641	111.7263	105.6713	61.07125	63.25375	27.58375	41.3	131.5313	73.68	190.8025	69.1	306.5225	132.2113	69.0075	48.3025	74.3175	20.21	28.82375	24.54875	78.9025	71.97875	159.0375	127.4388	19.77	13.155	97.83625	116.85	83.1975	133.6963	246.1938	284.6725	162.1263	115.5013	97.34	107.7213	87.925	77.335	199.9925	79.7375	39.6	115.2463	37.58375	89	140.635	346.4413	182.7713	310.0388	154.5038	99.98375	91.7675	71.75	49.2575	142.2325	54.39375	59.01125	94.385	26.57375	28.59875	71.63625	36.41875	73.05125	83.87	76.7375
D29808	42.35	61.7875	16.3575	31.185	27.6625	130.575	50.5775	97.62875	42.98375	140.4113	88.6225	140.1563	34.535	73.91625	68.14	35.92	15.82625	152.6725	19.8875	153.2375	13.4325	431.0163	208.4938	43.84	35.065	28.5875	32.87625	77.1	88.68	35.9325	49.385	57.23875	34.00125	65.105	42.9575	38.19	29.16125	80.51625	125.5775	83.0225	31.67375	212.405	97.1125	74.11375	352.465	144.7138	51.89625	78.8925	76.41875	41.46875	13.98875	89.145	19.1375	221.8163	17.3925	152.3125	30.83625	6.715	28.60125	27.7175	33.10875	125.8413
D30655	645.4838	1700.933	218.1513	461.675	484.1475	317.7638	860.3225	385.56	1229.62	584.7363	3481.216	2148.256	506.8625	337.8625	613.6938	122	389.55	397.74	382.3625	445.8275	970.9163	854.9275	387.325	115.6	873.6513	930.0725	700.895	1229.501	1402.844	1757.948	770.25	1051.119	983.0938	943.5538	499.3688	669.9813	914.9475	600.31	522.265	1448.554	649.29	1387.738	2874.641	3227.86	1866.406	2848.085	1064.566	1542.338	1190.995	978.9438	1193.195	1903.631	922.1675	614.8025	934.5413	660.2	639.555	644.6138	1277.494	1171.934	1039.833	1073.96
D30755	145.5238	208.5369	98.37857	190.35	94.31071	61.40952	253.8774	203.3714	151.5512	261.1333	447.0643	413.4726	151.8488	122.3857	123.825	83.94286	124.9536	175.3702	157.1726	157.3988	310.0976	215.9393	76.51667	48.49881	125.6548	101.0833	134.6619	161.2619	138.3238	373.7595	221.6274	163.2119	85.15952	173.225	146.5952	89.66071	179.4464	93.34524	155.0786	193.1619	97.80238	250.5262	167.15	416.9595	329.9262	379.0333	219.8036	255.2048	180.4202	156.5714	120.7571	187.4833	147.9107	98.0881	217.2667	47.48571	63.31191	88.83691	140.7179	227.5262	145.2833	224.4881
